"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_country"
475626,"Principal Data Analyst","Anywhere","Full-time","160000.0","2023-02-02 14:16:03","Canada"
587198,"Data Architect","Anywhere","Full-time","120000.0","2023-07-18 06:35:18","Canada"
205303,"Data Analyst, Risk User Experience","Canada","Full-time","111175.0","2023-09-04 07:16:18","Canada"
1180796,"Data Analyst, Growth","Canada","Full-time","111175.0","2023-04-12 18:31:14","Canada"
409209,"Data Analyst (VBA, Tableau)","Canada","Full-time","109000.0","2023-11-09 19:11:57","Canada"
629221,"Analytics Engineering Lead","Canada","Full-time","108415.5","2023-11-27 11:52:42","Canada"
827579,"Data Analyst - Game Operations","Canada","Full-time","105000.0","2023-07-06 14:10:17","Canada"
1591043,"Data Analyst, End to End Banking Operations","Edmonton, AB, Canada","Full-time","105000.0","2023-06-30 06:13:33","Canada"
1232872,"Analytics Lab Architect","Canada","Full-time","101014.0","2023-12-24 08:20:10","Canada"
452146,"Data Analyst","Edmonton, AB, Canada","Full-time","100500.0","2023-05-31 12:15:15","Canada"
